user_age_group,user_id,attempt_date,gender,smt_rank,smt_avg_spd,smt_finish_seconds,smt_name,user_weight_category,act_title,act_avg_spd,act_max_spd,act_total_km,act_moving_seconds,act_total_seconds,has_hr_data,id
25 to 34,1051,2019-03-25,male,96,32.0,532,King Street side,95 kg to 104 kg,Evening Ride,33.1,55.8,58.2,6331,6331,1,2077
25 to 34,1510,2018-03-20,male,616,4.6,1557,Oghor 2 SailsIsland,75 to 84 kg,Afternoon Ride,15.3,31.0,15.75,3717,3717,0,3944
35 to 44,2098,2018-05-11,male,221,24.0,252,Headquarters Business Park,54 kg and under,Lunch Ride,17.8,34.9,17.16,3474,3474,0,7347
25 to 34,344,2017-05-01,male,133,35.3,203,Oghor 2 SailsIsland,54 kg and under,Back woman biking: medium-light skin tone ,31.3,90.4,17.56,2020,2020,0,3413
35 to 44,229,2019-09-28,male,45,31.4,192,Headquarters Business Park,65 to 74 kg,Morning Ride - Brick,25.8,34.9,119.6,16671,16671,1,7171
25 to 34,572,2018-10-12,male,433,15.8,893,Starbucks to Majid,,Morning Ride,19.0,47.5,36.07,6852,6852,0,584
20 to 24,1053,2018-12-26,female,1,32.6,220,Oghor 2 SailsIsland,65 to 74 kg,Morning Ride,30.8,37.1,32.67,3821,3821,0,3274
55 to 64,940,2017-12-01,male,5,39.2,443,North Corniche,55 to 64 kg,Morning Ride,27.7,49.3,80.41,10446,10446,1,5902
25 to 34,422,2018-04-09,male,279,30.0,239,Oghor 2 SailsIsland,54 kg and under,Evening Ride,22.9,43.2,52.75,8307,8307,0,3612
25 to 34,1979,2019-04-05,male,723,15.6,388,Headquarters Business Park,75 to 84 kg,Morning Ride,13.1,31.7,10.31,2842,2842,0,6987
20 to 24,1384,2019-10-13,male,45,25.8,234,Headquarters Business Park,54 kg and under,Night Ride,19.2,30.6,15.6,2921,2921,0,6096
25 to 34,1962,2018-07-23,male,696,16.5,365,Headquarters Business Park,95 kg to 104 kg,Jeddah kornesh,16.6,33.8,14.77,3214,3214,0,6960
35 to 44,789,2018-12-13,male,215,28.5,609,North Corniche,54 kg and under,Afternoon Ride,15.5,44.3,22.95,5346,5346,0,5572
19 and under,1639,2019-02-12,male,47,21.3,284,Headquarters Business Park,54 kg and under,Evening Ride,22.2,74.5,20.95,3394,3394,0,5985
19 and under,9,2019-05-13,male,19,27.1,223,Headquarters Business Park,55 to 64 kg,Night Ride,22.3,42.1,57.42,9283,9283,1,5957
25 to 34,1318,2018-05-03,male,163,14.9,655,PRINCE SULTAN - ASSALAM TO FATIMA,54 kg and under,Evening Ride,16.4,40.3,60.2,13217,13217,0,2829
35 to 44,2159,2018-04-11,male,445,16.3,371,Headquarters Business Park,54 kg and under,Night Ride,16.7,41.4,9.43,2040,2040,0,7571
35 to 44,1527,2019-03-01,male,236,27.4,634,North Corniche,115 kg and over,Evening Ride,23.4,38.9,43.11,6630,6630,0,5591
25 to 34,335,2017-01-13,male,192,25.9,544,Starbucks to Majid,95 kg to 104 kg,الجمعة الصباح اول تمرين للجوهره,24.3,37.1,53.51,7915,7915,0,344
25 to 34,352,2015-02-23,male,338,26.7,651,North Corniche,65 to 74 kg,تمرين جدة سايكليست ,23.0,63.4,29.76,4666,4666,0,5133
45 to 54,1603,2019-09-30,male,140,19.9,361,Oghor 2 SailsIsland,75 to 84 kg,Night Ride,19.4,35.6,10.28,1912,1912,0,4554
45 to 54,1147,2019-06-04,male,25,38.8,185,Oghor 2 SailsIsland,,Morning Ride,29.9,48.2,40.7,4903,4903,0,4439
35 to 44,745,2019-02-12,male,247,23.4,258,Headquarters Business Park,,First 40 star-struck thumbs up ,20.0,31.7,40.12,7218,7218,0,7377
20 to 24,1697,2019-03-29,male,88,22.4,269,Headquarters Business Park,54 kg and under,Night Ride,11.4,41.8,33.96,10743,10743,0,6139
20 to 24,59,2019-06-30,male,44,26.0,232,Headquarters Business Park,85 to 95 kg,Morning Ride,26.2,40.3,15.92,2189,2189,1,6095
45 to 54,695,2019-11-09,male,105,26.3,273,Oghor 2 SailsIsland,85 to 95 kg,دوامي يبدأ رياضي,18.6,38.9,21.0,4062,4062,0,4519
20 to 24,83,2017-01-09,male,14,27.8,351,PRINCE SULTAN - ASSALAM TO FATIMA,85 to 95 kg,Evening Ride,23.6,38.2,18.74,2863,2863,0,2656
20 to 24,86,2015-11-27,male,41,25.1,562,Starbucks to Majid,95 kg to 104 kg,تمرين جدة ,21.8,88.2,57.28,9462,9462,0,90
25 to 34,1417,2019-12-30,male,321,28.9,248,Oghor 2 SailsIsland,85 to 95 kg,Night ride,26.4,43.9,41.53,5668,5668,0,3651
35 to 44,1145,2017-07-28,male,179,31.6,227,Oghor 2 SailsIsland,75 to 84 kg,تمرين ابحر مع صديقنا ياسر  thumbs up thumbs up ,21.9,46.4,72.54,11928,11928,0,4149
35 to 44,2097,2019-04-08,male,216,24.0,251,Headquarters Business Park,,Evening Ride,20.4,34.2,20.29,3589,3589,0,7345
20 to 24,1162,2018-07-20,male,94,25.0,287,Oghor 2 SailsIsland,54 kg and under,Morning Ride,24.5,103.0,72.37,10651,10651,0,3231
25 to 34,1177,2020-03-27,male,135,29.3,581,King Street side,95 kg to 104 kg,Friday ride,22.8,40.3,47.75,7535,7535,0,2117
35 to 44,1079,2019-02-01,male,187,31.1,231,Oghor 2 SailsIsland,54 kg and under,Morning Ride,26.7,38.9,40.02,5403,5403,1,4160
19 and under,1635,2019-06-11,male,40,23.0,263,Headquarters Business Park,75 to 84 kg,Morning Ride,23.7,36.0,21.59,3278,3278,0,5978
45 to 54,1000,2019-08-28,male,91,27.8,258,Oghor 2 SailsIsland,75 to 84 kg,Night Ride,21.5,32.4,19.81,3323,3323,1,4505
45 to 54,957,2017-12-02,male,76,29.2,594,North Corniche,75 to 84 kg,Afternoon Ride,18.8,39.2,37.16,7127,7127,0,5825
35 to 44,494,2018-09-23,male,306,15.0,938,Starbucks to Majid,54 kg and under,اليوم الوطني ,10.2,40.0,12.28,4319,4319,0,947
19 and under,1356,2018-01-22,male,48,22.6,317,Oghor 2 SailsIsland,54 kg and under,22/1/2018,19.7,35.6,22.07,4031,4031,0,3123
25 to 34,1929,2019-09-05,male,627,18.1,334,Headquarters Business Park,,Night Ride,14.2,42.1,25.68,6501,6501,0,6894
25 to 34,492,2019-01-03,male,571,19.0,317,Headquarters Business Park,54 kg and under,Sjc alone turki,21.3,36.0,31.55,5331,5331,0,6839
35 to 44,1081,2018-07-22,male,102,35.2,204,Oghor 2 SailsIsland,65 to 74 kg,Afternoon Ride,23.6,41.0,52.2,7975,7975,0,4071
45 to 54,1335,2020-03-06,male,139,20.2,355,Oghor 2 SailsIsland,75 to 84 kg,Morning Ride,17.7,52.2,32.9,6712,6712,0,4553
45 to 54,1268,2016-04-14,male,145,17.9,400,Oghor 2 SailsIsland,85 to 95 kg,Morning Ride,19.4,67.0,57.85,10736,10736,0,4559
35 to 44,853,2018-03-01,male,375,19.5,309,Headquarters Business Park,,تمرين الخميس,17.8,42.5,40.25,8154,8154,0,7501
25 to 34,1304,2017-11-25,male,446,24.6,292,Oghor 2 SailsIsland,75 to 84 kg,Morning Ride,17.7,32.0,30.29,6177,6177,0,3774
45 to 54,1095,2019-06-07,male,80,22.4,269,Headquarters Business Park,85 to 95 kg,Demolition Friday 50k Ride,28.2,38.5,48.53,6193,6193,0,7738
45 to 54,1263,2018-08-17,male,59,32.0,542,North Corniche,65 to 74 kg,Morning Ride,21.0,40.0,56.66,9732,9732,1,5808
35 to 44,689,2019-01-16,male,77,35.5,489,North Corniche,75 to 84 kg,Evening Ride,24.2,43.6,51.94,7729,7729,0,5432
20 to 24,59,2019-07-05,male,13,39.6,438,North Corniche,85 to 95 kg,Evening Ride (Part 2),30.9,49.3,17.46,2034,2034,1,4691
35 to 44,1080,2018-12-17,male,152,31.3,555,North Corniche,54 kg and under,Evening Ride,26.8,92.2,97.15,13033,13033,0,5507
35 to 44,1544,2018-03-05,male,278,24.8,701,North Corniche,54 kg and under,Evening Ride,18.6,40.7,29.74,5744,5744,0,5633
35 to 44,734,2015-04-13,male,161,30.9,562,North Corniche,75 to 84 kg,Evening Ride,20.2,49.3,23.12,4124,4124,0,5516
35 to 44,760,2018-05-16,male,132,26.1,651,King Street side,54 kg and under,Night Ride,23.2,47.2,33.75,5243,5243,0,2415
25 to 34,461,2018-12-17,male,219,32.0,224,Oghor 2 SailsIsland,55 to 64 kg,Evening Ride,27.6,54.0,29.57,3854,3854,1,3552
19 and under,1632,2018-03-18,male,29,24.9,242,Headquarters Business Park,54 kg and under,Night Ride,15.7,32.4,19.15,4396,4396,0,5967
20 to 24,67,2019-03-23,male,28,34.8,206,Oghor 2 SailsIsland,54 kg and under,Morning Ride,32.3,43.9,49.43,5514,5514,1,3163
25 to 34,1502,2020-03-20,male,485,18.5,939,North Corniche,54 kg and under,Morning Ride,19.8,34.6,30.02,5448,5448,0,5282
25 to 34,211,2014-08-20,male,174,33.7,213,Oghor 2 SailsIsland,95 kg to 104 kg,Night Ride,23.1,46.4,27.31,4264,4264,0,3477
20 to 24,1389,2019-08-11,male,79,23.0,263,Headquarters Business Park,54 kg and under,Night Ride,14.8,46.8,38.94,9496,9496,0,6131
35 to 44,371,2019-03-08,male,115,27.2,626,King Street side,54 kg and under,Morning Ride,25.6,43.6,61.23,8613,8613,1,2398
25 to 34,494,2018-02-11,male,279,30.0,239,Oghor 2 SailsIsland,54 kg and under,الاحد ,20.4,47.2,30.51,5394,5394,0,3611
25 to 34,187,2016-10-14,male,5,43.3,630,Al Fardoos to shellfish round about,85 to 95 kg,Morning Ride,35.0,52.2,103.12,10601,10601,1,1710
25 to 34,512,2019-11-18,male,423,25.3,283,Oghor 2 SailsIsland,54 kg and under,Evening Ride,18.7,38.5,32.53,6256,6256,0,3753
35 to 44,2187,2018-11-17,female,6,21.2,285,Headquarters Business Park,55 to 64 kg,Morning Ride,18.5,28.8,21.13,4106,4106,1,7633
25 to 34,1060,2019-12-21,male,44,33.4,955,S.Ubhur Alkurnaysh South Bound with detour,65 to 74 kg,Morning Ride,27.5,48.6,52.49,6882,6882,1,1186
25 to 34,480,2020-02-20,male,426,25.3,284,Oghor 2 SailsIsland,54 kg and under,Morning Ride ,19.4,32.0,20.01,3710,3710,0,3757
20 to 24,1699,2018-07-20,male,96,22.0,275,Headquarters Business Park,75 to 84 kg,الكورنيش الجديد ,18.6,49.0,22.26,4310,4310,0,6147
35 to 44,775,2019-10-01,male,33,33.0,183,Headquarters Business Park,65 to 74 kg,Afternoon Ride,15.4,38.5,10.23,2398,2398,1,7159
45 to 54,971,2019-08-05,male,31,27.8,217,Headquarters Business Park,75 to 84 kg,Evening Ride,22.1,41.8,62.32,10131,10131,1,7690
20 to 24,145,2018-01-26,female,101,3.5,4053,Starbucks to Majid,85 to 95 kg,Evening Ride,13.7,39.2,28.72,7572,7572,0,151
35 to 44,878,2018-08-17,male,274,18.5,761,Starbucks to Majid,105 kg to 114 kg,Morning Ride,18.8,24.1,33.42,6409,6409,1,915
35 to 44,643,2015-12-14,male,42,30.7,1038,S.Ubhur Alkurnaysh South Bound with detour,75 to 84 kg,Evening Ride,25.7,46.1,53.78,7524,7524,0,1305
45 to 54,999,2020-01-10,male,122,17.5,345,Headquarters Business Park,54 kg and under,تمرين خفيف لطيف red heart fire ,22.2,37.1,18.38,2983,2983,0,7779
35 to 44,1088,2019-10-25,male,290,24.3,714,North Corniche,54 kg and under,Morning Ride,19.6,35.6,63.42,11634,11634,0,5646
20 to 24,1371,2018-08-06,male,67,25.8,673,North Corniche,75 to 84 kg,تمرين جده بالدراجه الاجار green heart grinning face with sweat ,20.4,51.5,36.24,6391,6391,0,4746
35 to 44,673,2018-03-30,male,142,26.1,231,Headquarters Business Park,75 to 84 kg,Morning Ride,27.1,52.6,40.09,5323,5323,1,7268
45 to 54,965,2019-12-29,male,30,29.0,1097,S.Ubhur Alkurnaysh South Bound with detour,75 to 84 kg,Sunday Evening Ride person biking  night with stars Jeddah,27.2,34.9,52.57,6963,6963,0,1398
25 to 34,177,2019-05-31,male,31,35.1,401,Starbucks to Majid,54 kg and under,Afternoon Ride,24.6,43.2,23.47,3440,3440,0,183
25 to 34,156,2019-04-27,male,49,40.5,177,Oghor 2 SailsIsland,65 to 74 kg,سباق جدة جيلي ٥٠,40.2,51.5,41.95,3755,3755,0,3328
35 to 44,2156,2015-09-27,male,440,16.5,366,Headquarters Business Park,105 kg to 114 kg,Afternoon Ride,19.4,36.7,37.66,6978,6978,0,7566
35 to 44,1143,2020-01-24,male,84,30.1,325,PRINCE SULTAN - ASSALAM TO FATIMA,54 kg and under,First longride year2020,20.9,113.8,105.75,18214,18214,0,2917
35 to 44,741,2018-12-24,male,134,26.1,653,King Street side,54 kg and under,الاثنين 24-12-2018 سرعه 30,26.1,40.3,51.36,7097,7097,0,2417
25 to 34,460,2019-03-07,male,320,21.9,642,Starbucks to Majid,75 to 84 kg,Night Ride,18.1,48.6,32.68,6519,6519,1,471
35 to 44,928,2020-01-28,female,7,16.9,834,Starbucks to Majid,54 kg and under,Evening Ride,19.0,31.7,44.35,8392,8392,0,967
25 to 34,202,2017-05-03,male,58,31.8,443,Starbucks to Majid,75 to 84 kg,Cycling madness solo on roads in Saudi Arabia ,33.6,50.0,39.39,4225,4225,1,209
20 to 24,104,2019-01-18,male,40,24.2,702,King Street side,54 kg and under,Afternoon Ride,21.8,46.1,107.26,17729,17729,0,1961
35 to 44,859,2016-08-29,male,255,19.8,711,Starbucks to Majid,75 to 84 kg,مسار جديد,18.6,28.4,15.32,2974,2974,0,896
19 and under,1631,2020-01-02,male,26,25.4,238,Headquarters Business Park,54 kg and under,Morning Ride,30.4,109.8,25.8,3060,3060,0,5965
35 to 44,2120,2018-11-21,male,307,21.9,276,Headquarters Business Park,54 kg and under,Afternoon Ride,18.9,27.7,9.29,1772,1772,0,7436
25 to 34,1937,2018-02-27,male,645,17.7,341,Headquarters Business Park,54 kg and under,Morning Ride,17.9,29.9,9.89,1996,1996,0,6909
25 to 34,277,2018-07-27,male,68,24.8,1100,Al Fardoos to shellfish round about,65 to 74 kg,First 100KM Ride!,24.5,36.7,103.08,15142,15142,1,1773
35 to 44,854,2016-06-25,male,310,22.7,765,North Corniche,105 kg to 114 kg,Night Ride,20.2,40.3,21.06,3758,3758,0,5665
35 to 44,775,2020-01-15,male,14,38.6,441,King Street side,65 to 74 kg,Lunch Ride,27.7,48.6,40.92,5324,5324,1,2299
25 to 34,461,2018-12-10,male,67,27.7,1150,S.Ubhur Alkurnaysh South Bound with detour,55 to 64 kg,Evening Ride,27.7,43.9,41.55,5391,5391,1,1209
35 to 44,757,2019-04-05,male,235,28.8,249,Oghor 2 SailsIsland,54 kg and under,Evening Ride,16.8,35.6,13.98,2993,2993,1,4205
45 to 54,962,2018-01-19,male,26,28.6,211,Headquarters Business Park,75 to 84 kg,Morning Ride ,23.8,46.4,28.66,4339,4339,0,7683
19 and under,1661,2020-01-20,male,83,14.4,420,Headquarters Business Park,85 to 95 kg,Afternoon Ride,17.1,104.0,31.55,6629,6629,0,6021
25 to 34,305,2017-12-20,male,109,16.5,1929,S.Ubhur Alkurnaysh South Bound with detour,55 to 64 kg,Evening Ride,24.7,36.7,47.68,6948,6948,0,1251
25 to 34,441,2017-07-11,male,356,27.9,257,Oghor 2 SailsIsland,54 kg and under,jeddah cyclist,20.5,46.8,19.87,3490,3490,0,3686
45 to 54,1011,2020-03-11,male,73,22.9,743,King Street side,75 to 84 kg,Evening Ride,23.3,38.9,45.01,6944,6944,0,2585
25 to 34,243,2018-03-21,male,88,30.0,201,Headquarters Business Park,55 to 64 kg,Solo Ride ,28.9,40.0,68.52,8544,8544,0,6352
20 to 24,95,2019-04-26,male,60,27.3,636,North Corniche,54 kg and under,Afternoon Ride,21.8,46.8,20.45,3376,3376,0,4738
35 to 44,867,2018-01-03,male,379,21.2,339,Oghor 2 SailsIsland,54 kg and under,Evening Ride,17.7,47.5,27.2,5534,5534,0,4350
25 to 34,284,2018-12-03,male,141,27.6,510,Starbucks to Majid,54 kg and under,Evening Ride,20.0,43.9,76.51,13747,13747,0,292
25 to 34,216,2016-01-23,male,286,29.9,240,Oghor 2 SailsIsland,75 to 84 kg,Morning Ride-23/1/2016,25.0,42.1,30.0,4315,4315,0,3614
45 to 54,1001,2020-01-10,male,82,19.6,718,Starbucks to Majid,54 kg and under,Morning Ride,18.2,37.4,18.45,3658,3658,0,1051
35 to 44,704,2015-04-03,male,106,35.0,205,Oghor 2 SailsIsland,95 kg to 104 kg,Morning Ride,24.3,64.8,53.48,7911,7911,0,4075
20 to 24,145,2017-11-03,male,36,33.2,216,Oghor 2 SailsIsland,85 to 95 kg,Morning Ride,26.0,39.6,48.03,6653,6653,1,3172
25 to 34,265,2015-03-27,male,121,28.6,493,Starbucks to Majid,105 kg to 114 kg,Morning Ride,23.5,81.7,38.51,5901,5901,0,272
25 to 34,1168,2019-11-10,male,61,34.5,493,King Street side,54 kg and under,Evening Ride,29.8,40.0,47.95,5787,5787,0,2042
35 to 44,795,2018-11-09,male,187,31.1,231,Oghor 2 SailsIsland,65 to 74 kg,Morning Ride,21.9,39.2,48.66,8017,8017,0,4159
35 to 44,1246,2020-04-06,male,92,29.3,333,PRINCE SULTAN - ASSALAM TO FATIMA,85 to 95 kg,Morning Ride,28.2,49.7,29.5,3769,3769,0,2926
25 to 34,396,2017-08-11,male,128,22.9,427,PRINCE SULTAN - ASSALAM TO FATIMA,75 to 84 kg,17 Afternoon Ride 44.8,19.1,41.4,44.89,8466,8466,0,2794
35 to 44,1325,2020-02-24,male,54,34.3,285,PRINCE SULTAN - ASSALAM TO FATIMA,,Night Ride,29.7,46.1,25.8,3130,3130,0,2887
55 to 64,1035,2017-04-22,male,7,30.7,459,Starbucks to Majid,115 kg and over,Morning Ride,27.2,41.8,28.75,3810,3810,0,1086
25 to 34,334,2016-05-13,male,156,34.3,209,Oghor 2 SailsIsland,54 kg and under,Morning Ride,23.5,42.8,41.67,6385,6385,1,3459
35 to 44,670,2018-04-23,male,4,45.3,383,North Corniche,65 to 74 kg,Ciclismo por la mañana,31.9,51.8,70.23,7921,7921,1,5359
25 to 34,291,2018-11-28,male,255,24.7,244,Headquarters Business Park,95 kg to 104 kg,Evening Ride,25.2,41.4,50.9,7272,7272,0,6524
35 to 44,803,2016-08-03,male,280,24.7,702,North Corniche,95 kg to 104 kg,Night Ride,18.0,38.2,19.9,3980,3980,0,5635
25 to 34,2042,2019-05-30,female,25,18.9,319,Headquarters Business Park,54 kg and under,Pre-iftar ride,21.4,32.8,16.1,2709,2709,0,7094
25 to 34,164,2019-10-11,male,140,34.8,206,Oghor 2 SailsIsland,75 to 84 kg,Morning Ride,31.9,40.0,83.77,9450,9450,1,3422
25 to 34,360,2018-10-29,male,202,31.3,555,North Corniche,75 to 84 kg,Evening Ride,24.3,60.1,49.19,7289,7289,0,4997
25 to 34,543,2019-05-17,male,501,17.0,1019,North Corniche,54 kg and under,Morning Ride,15.6,33.1,35.0,8100,8100,0,5296
35 to 44,739,2018-11-28,male,123,32.8,529,North Corniche,55 to 64 kg,Ciclismo por la mañana,27.6,69.5,45.76,5969,5969,0,5478
35 to 44,229,2019-11-16,male,25,38.2,256,PRINCE SULTAN - ASSALAM TO FATIMA,65 to 74 kg,Morning Ride,30.5,43.2,116.94,13819,13819,1,2859
25 to 34,201,2016-05-20,male,31,37.2,263,PRINCE SULTAN - ASSALAM TO FATIMA,85 to 95 kg,Morning Ride,22.1,45.4,54.2,8815,8815,0,2698
25 to 34,571,2018-03-23,male,570,18.3,393,Oghor 2 SailsIsland,75 to 84 kg,Night Ride,15.5,42.8,42.09,9778,9778,0,3898
25 to 34,601,2019-01-19,male,462,8.3,1697,Starbucks to Majid,54 kg and under,Second time bicycle man lifting weights: light skin tone ,17.2,38.9,14.34,3004,3004,0,613
45 to 54,961,2019-07-05,male,53,24.6,245,Headquarters Business Park,75 to 84 kg,Morning Ride,30.6,47.2,84.95,9994,9994,0,7713
25 to 34,1418,2018-10-12,male,324,28.8,249,Oghor 2 SailsIsland,54 kg and under,Morning Ride,24.7,50.4,33.57,4889,4889,0,3653
20 to 24,1287,2017-01-25,male,127,16.9,425,Oghor 2 SailsIsland,54 kg and under,First trip ,16.2,35.3,36.24,8041,8041,0,3262
35 to 44,890,2019-04-14,male,423,12.1,594,Oghor 2 SailsIsland,54 kg and under,Night Ride,10.3,39.2,25.72,8972,8972,0,4392
55 to 64,1044,2019-12-27,male,21,26.1,275,Oghor 2 SailsIsland,75 to 84 kg,Afternoon Ride,22.1,40.0,46.61,7582,7582,1,4600
25 to 34,417,2017-11-11,male,43,34.9,781,Al Fardoos to shellfish round about,105 kg to 114 kg,Morning Ride,28.4,47.2,63.72,8084,8084,1,1748
25 to 34,2041,2019-01-26,female,24,19.0,318,Headquarters Business Park,54 kg and under,Morning Ride,16.0,53.6,28.25,6369,6369,0,7093
25 to 34,350,2018-05-17,male,451,24.4,294,Oghor 2 SailsIsland,54 kg and under,Morning Ride,22.1,48.6,50.06,8151,8151,0,3780
45 to 54,959,2019-10-23,male,11,35.2,484,King Street side,75 to 84 kg,تمرين بطل ماشاء الله person biking: light skin tone person biking: light skin tone ,27.5,45.4,61.25,8007,8007,0,2523
25 to 34,170,2018-12-08,male,119,34.7,500,North Corniche,85 to 95 kg,Sortie à vélo du midi,28.8,45.0,52.03,6500,6500,0,4914
45 to 54,944,2018-03-16,male,55,25.2,388,PRINCE SULTAN - ASSALAM TO FATIMA,75 to 84 kg,Friday morning ride,22.9,46.4,37.14,5841,5841,0,3039
25 to 34,536,2018-12-20,male,168,34.2,210,Oghor 2 SailsIsland,95 kg to 104 kg,Night Ride,25.4,44.6,15.26,2166,2166,0,3497
25 to 34,1184,2016-10-14,male,173,27.0,631,King Street side,75 to 84 kg,تمرين جداوي صباحي ,23.9,34.6,66.55,10035,10035,0,2154
35 to 44,815,2018-12-28,male,81,21.9,1452,S.Ubhur Alkurnaysh South Bound with detour,75 to 84 kg,Back. From Jawhra,19.1,31.3,41.37,7810,7810,0,1344
35 to 44,2174,2019-11-23,male,476,12.8,473,Headquarters Business Park,65 to 74 kg,Night Ride,12.7,37.4,7.34,2083,2083,0,7602
55 to 64,1043,2017-11-29,male,14,30.2,575,North Corniche,75 to 84 kg,Evening Ride,23.3,39.2,50.12,7752,7752,0,5911
25 to 34,175,2019-04-27,male,10,39.5,153,Headquarters Business Park,115 kg and over,سباق جده برعاية شركة جيلي سباق جدا رائع ,35.1,50.0,41.56,4260,4260,1,6276
35 to 44,913,2019-04-08,male,311,11.6,1217,Starbucks to Majid,54 kg and under,Night Ride,19.3,31.0,22.26,4145,4145,0,952
35 to 44,640,2014-09-12,male,69,32.4,302,PRINCE SULTAN - ASSALAM TO FATIMA,85 to 95 kg,Debut on the Corniche,26.3,39.6,64.65,8843,8843,1,2902
25 to 34,193,2019-09-27,male,48,27.3,906,Obhur North Short,75 to 84 kg,100km with fucken bad sun,26.2,44.3,90.31,12406,12406,0,1504
20 to 24,1165,2018-01-06,male,64,29.4,244,Oghor 2 SailsIsland,75 to 84 kg,Morning Ride,12.3,35.3,68.39,20097,20097,0,3199
45 to 54,2241,2018-07-30,female,10,15.7,384,Headquarters Business Park,54 kg and under,Evening Ride,14.0,22.3,13.16,3376,3376,0,7818
35 to 44,705,2019-06-28,male,135,21.4,457,PRINCE SULTAN - ASSALAM TO FATIMA,65 to 74 kg,Morning Ride,20.8,37.4,49.01,8473,8473,1,2968
19 and under,47,2018-12-14,female,1,26.2,1217,S.Ubhur Alkurnaysh South Bound with detour,54 kg and under,Morning Ride,22.1,35.6,43.63,7104,7104,0,1121
45 to 54,1340,2020-01-13,male,32,37.0,194,Oghor 2 SailsIsland,85 to 95 kg,Afternoon Ride,27.2,41.0,50.04,6626,6626,0,4446
35 to 44,691,2014-10-27,male,123,34.2,210,Oghor 2 SailsIsland,75 to 84 kg,غير حياتك ,25.7,45.4,34.88,4888,4888,0,4094
25 to 34,1398,2018-03-02,male,53,32.3,187,Headquarters Business Park,115 kg and over,Lunch Ride,37.0,67.0,15.34,1493,1493,0,6317
35 to 44,244,2019-01-23,male,380,19.3,312,Headquarters Business Park,105 kg to 114 kg,Night Ride,17.6,28.4,15.51,3169,3169,0,7506
25 to 34,535,2014-07-06,male,322,27.3,636,North Corniche,65 to 74 kg,Afternoon Ride Ramadan 2,21.0,39.6,12.69,2177,2177,0,5117
25 to 34,256,2016-05-30,male,111,35.3,492,North Corniche,54 kg and under,Night Ride,19.9,54.7,24.88,4509,4509,0,4906
25 to 34,406,2018-09-26,male,264,23.7,593,Starbucks to Majid,54 kg and under,Evening Ride,25.0,42.1,50.7,7307,7307,0,416
25 to 34,561,2018-11-24,male,454,21.0,287,Headquarters Business Park,54 kg and under,Morning Ride,20.1,39.2,16.74,3002,3002,0,6720
35 to 44,903,2016-10-08,male,148,25.1,678,King Street side,105 kg to 114 kg,أول مرة أصل لهذه السرعة مع دراج الحجاز ,28.7,50.4,45.25,5670,5670,1,2431
75+,1049,2019-08-05,male,1,40.5,177,Oghor 2 SailsIsland,85 to 95 kg,July 5th 2019,25.2,48.2,62.54,8924,8924,0,4619
25 to 34,552,2018-05-02,male,413,16.9,831,Starbucks to Majid,,Evening Ride,11.2,24.5,18.37,5888,5888,0,564
45 to 54,648,2019-11-10,male,13,34.7,490,King Street side,65 to 74 kg,JSC ride,31.0,43.2,49.95,5800,5800,0,2526
25 to 34,279,2015-01-17,male,82,23.4,1361,S.Ubhur Alkurnaysh South Bound with detour,75 to 84 kg,Afternoon Ride,19.3,36.4,21.44,3999,3999,0,1224
20 to 24,137,2019-01-05,male,93,17.3,815,Starbucks to Majid,54 kg and under,Morning Ride,27.3,94.3,31.02,4095,4095,0,142
25 to 34,185,2019-05-03,male,34,28.9,854,Obhur North Short,75 to 84 kg, fire man biking: medium-light skin tone first 90 man biking: medium-light skin tone fire ,27.4,39.2,90.02,11832,11832,1,1490
25 to 34,480,2020-03-10,male,139,21.9,446,PRINCE SULTAN - ASSALAM TO FATIMA,54 kg and under,Evening Ride,19.3,28.4,19.76,3683,3683,0,2807
20 to 24,57,2016-12-28,male,13,40.3,178,Oghor 2 SailsIsland,65 to 74 kg,Evening Ride,23.7,46.4,44.99,6844,6844,0,3149
25 to 34,196,2017-11-20,male,23,39.2,434,King Street side,65 to 74 kg,Evening Ride,27.7,46.4,42.43,5515,5515,0,2004
25 to 34,1062,2019-12-20,male,52,32.5,979,S.Ubhur Alkurnaysh South Bound with detour,75 to 84 kg,Morning Ride,24.2,46.4,60.02,8933,8933,1,1194
25 to 34,1297,2017-11-03,male,105,26.0,376,PRINCE SULTAN - ASSALAM TO FATIMA,,Evening Ride,12.0,33.8,18.12,5436,5436,0,2771
25 to 34,1428,2016-12-03,male,308,28.0,619,North Corniche,85 to 95 kg,Night Ride,18.7,114.5,26.58,5117,5117,0,5103
25 to 34,1136,2017-11-11,male,51,33.3,819,Al Fardoos to shellfish round about,65 to 74 kg,Morning Ride,28.0,43.6,63.85,8196,8196,1,1756
25 to 34,486,2014-09-13,male,346,20.4,689,Starbucks to Majid,75 to 84 kg,13/9/2014,21.8,32.0,21.81,3598,3598,0,497
25 to 34,334,2016-11-11,male,104,26.1,375,PRINCE SULTAN - ASSALAM TO FATIMA,54 kg and under,Morning Ride,22.7,39.6,48.43,7675,7675,1,2770
45 to 54,965,2019-08-05,male,27,28.5,212,Headquarters Business Park,75 to 84 kg,Monday Evening Ride with Jeddah Cyclists person biking ,26.5,44.3,49.1,6661,6661,1,7685
35 to 44,875,2020-01-11,male,271,18.8,749,Starbucks to Majid,,MTB ride,17.0,59.0,64.78,13715,13715,0,912
